iter	Passed	Remaining
400	27162	6705
401	27236	6639
402	27298	6570
403	27383	6506
404	27447	6438
405	27529	6373
406	27594	6305
407	27651	6235
408	27724	6168
409	27798	6102
410	27871	6035
411	27948	5969
412	28004	5899
413	28075	5832
414	28138	5763
415	28200	5694
416	28254	5623
417	28321	5555
418	28382	5486
419	28431	5415
420	28506	5349
421	28582	5283
422	28663	5217
423	28732	5150
424	28804	5083
425	28887	5018
426	28960	4951
427	29035	4884
428	29096	4815
429	29173	4749
430	29233	4680
431	29296	4611
432	29369	4544
433	29425	4474
434	29491	4406
435	29560	4339
436	29622	4270
437	29682	4201
438	29757	4134
439	29817	4066
440	29888	3998
441	29950	3930
442	30035	3864
443	30095	3795
444	30155	3727
445	30216	3658
446	30279	3590
447	30359	3523
448	30434	3456
449	30509	3389
450	30578	3322
451	30644	3254
452	30717	3187
453	30789	3119
454	30839	3050
455	30899	2981
456	30958	2912
457	31027	2845
458	31094	2777
459	31164	2709
460	31231	2642
461	31298	2574
462	31374	2507
463	31441	2439
464	31494	2370
465	31563	2302
466	31620	2234
467	31699	2167
468	31748	2098
469	31806	2030
470	31869	1962
471	31959	1895
472	32061	1830
473	32158	1763
474	32252	1697
475	32309	1629
476	32374	1561
477	32458	1493
478	32527	1426
479	32605	1358
480	32680	1290
481	32741	1222
482	32802	1154
483	32877	1086
484	32944	1018
485	33018	951
486	33081	883
487	33146	815
488	33210	747
489	33274	679
490	33334	611
491	33406	543
492	33470	475
493	33538	407
494	33611	339
495	33672	271
496	33735	203
497	33815	135
498	33894	67
499	33963	0
